repos,repo_version,file,file_in_repo,name,asname,module
behnam71/ray-master,latest,sigopt_multi_objective_example.py,python/ray/tune/examples/sigopt_multi_objective_example.py,time,,
behnam71/ray-master,latest,sigopt_multi_objective_example.py,python/ray/tune/examples/sigopt_multi_objective_example.py,numpy,np,
behnam71/ray-master,latest,sigopt_multi_objective_example.py,python/ray/tune/examples/sigopt_multi_objective_example.py,tune,,ray
behnam71/ray-master,latest,sigopt_multi_objective_example.py,python/ray/tune/examples/sigopt_multi_objective_example.py,SigOptSearch,,ray.tune.suggest.sigopt
behnam71/ray-master,latest,sigopt_prior_beliefs_example.py,python/ray/tune/examples/sigopt_prior_beliefs_example.py,sys,,
behnam71/ray-master,latest,sigopt_prior_beliefs_example.py,python/ray/tune/examples/sigopt_prior_beliefs_example.py,numpy,np,
behnam71/ray-master,latest,sigopt_prior_beliefs_example.py,python/ray/tune/examples/sigopt_prior_beliefs_example.py,tune,,ray
behnam71/ray-master,latest,sigopt_prior_beliefs_example.py,python/ray/tune/examples/sigopt_prior_beliefs_example.py,SigOptSearch,,ray.tune.suggest.sigopt
yangysc/ResiNet,latest,tutorial.py,ray-master/python/ray/tune/tests/tutorial.py,numpy,np,
yangysc/ResiNet,latest,tutorial.py,ray-master/python/ray/tune/tests/tutorial.py,torch,,
yangysc/ResiNet,latest,tutorial.py,ray-master/python/ray/tune/tests/tutorial.py,torch.optim,optim,
yangysc/ResiNet,latest,tutorial.py,ray-master/python/ray/tune/tests/tutorial.py,torch.nn,nn,
yangysc/ResiNet,latest,tutorial.py,ray-master/python/ray/tune/tests/tutorial.py,datasets,,torchvision
yangysc/ResiNet,latest,tutorial.py,ray-master/python/ray/tune/tests/tutorial.py,transforms,,torchvision
yangysc/ResiNet,latest,tutorial.py,ray-master/python/ray/tune/tests/tutorial.py,DataLoader,,torch.utils.data
yangysc/ResiNet,latest,tutorial.py,ray-master/python/ray/tune/tests/tutorial.py,torch.nn.functional,F,
yangysc/ResiNet,latest,tutorial.py,ray-master/python/ray/tune/tests/tutorial.py,tune,,ray
yangysc/ResiNet,latest,tutorial.py,ray-master/python/ray/tune/tests/tutorial.py,ASHAScheduler,,ray.tune.schedulers
yangysc/ResiNet,latest,tutorial.py,ray-master/python/ray/tune/tests/tutorial.py,hp,,hyperopt
yangysc/ResiNet,latest,tutorial.py,ray-master/python/ray/tune/tests/tutorial.py,HyperOptSearch,,ray.tune.suggest.hyperopt
yangysc/ResiNet,latest,tutorial.py,ray-master/python/ray/tune/tests/tutorial.py,os,,
yangysc/ResiNet,latest,tutorial.py,ray-master/python/ray/tune/tests/tutorial.py,TrainMNIST,,ray.tune.examples.mnist_pytorch_trainable
yangysc/ResiNet,latest,sigopt_example.py,ray-master/python/ray/tune/examples/sigopt_example.py,sys,,
yangysc/ResiNet,latest,sigopt_example.py,ray-master/python/ray/tune/examples/sigopt_example.py,time,,
yangysc/ResiNet,latest,sigopt_example.py,ray-master/python/ray/tune/examples/sigopt_example.py,tune,,ray
